time,f0,frame,rms
1.029478479176759720e-02,2.912496643066406250e+02,2.270000000000000000e+02,3.748200833797454834e-04
1.034013647586107254e-02,2.912496643066406250e+02,2.280000000000000000e+02,1.787133514881134033e-04
1.038548722863197327e-02,2.912496643066406250e+02,2.290000000000000000e+02,7.615983486175537109e-05
1.043083891272544861e-02,2.912496643066406250e+02,2.300000000000000000e+02,1.545622944831848145e-04
1.047619059681892395e-02,2.912496643066406250e+02,2.310000000000000000e+02,2.373382449150085449e-04
1.052154228091239929e-02,2.912496643066406250e+02,2.320000000000000000e+02,2.134814858436584473e-04
1.056689303368330002e-02,2.912496643066406250e+02,2.330000000000000000e+02,5.150586366653442383e-04
1.061224471777677536e-02,2.912496643066406250e+02,2.340000000000000000e+02,4.556775093078613281e-04
1.065759640187025070e-02,2.912496643066406250e+02,2.350000000000000000e+02,2.646073698997497559e-04
1.070294808596372604e-02,2.912496643066406250e+02,2.360000000000000000e+02,1.604110002517700195e-04
1.074829977005720139e-02,2.912496643066406250e+02,2.370000000000000000e+02,6.948783993721008301e-05
1.079365052282810211e-02,2.912496643066406250e+02,2.380000000000000000e+02,3.149919211864471436e-04
1.083900220692157745e-02,2.912496643066406250e+02,2.390000000000000000e+02,2.258308231830596924e-04
1.088435389101505280e-02,2.912496643066406250e+02,2.400000000000000000e+02,4.461780190467834473e-05
1.092970557510852814e-02,2.912496643066406250e+02,2.410000000000000000e+02,2.507120370864868164e-05
1.097505632787942886e-02,2.912496643066406250e+02,2.420000000000000000e+02,1.432225108146667480e-04
1.102040801197290421e-02,2.912496643066406250e+02,2.430000000000000000e+02,1.778267323970794678e-04
1.106575969606637955e-02,2.912496643066406250e+02,2.440000000000000000e+02,7.428973913192749023e-05
1.111111138015985489e-02,2.912496643066406250e+02,2.450000000000000000e+02,4.882775247097015381e-04
1.115646213293075562e-02,2.912496643066406250e+02,2.460000000000000000e+02,5.472674965858459473e-04
1.120181381702423096e-02,2.912496643066406250e+02,2.470000000000000000e+02,5.943141877651214600e-04
1.124716550111770630e-02,2.912496643066406250e+02,2.480000000000000000e+02,2.415813505649566650e-04
1.129251718521118164e-02,2.912496643066406250e+02,2.490000000000000000e+02,7.338449358940124512e-05
1.133786886930465698e-02,2.912496643066406250e+02,2.500000000000000000e+02,1.705549657344818115e-04
1.138321962207555771e-02,2.912496643066406250e+02,2.510000000000000000e+02,1.811571419239044189e-04
1.142857130616903305e-02,2.912496643066406250e+02,2.520000000000000000e+02,2.392008900642395020e-05
1.147392299026250839e-02,2.912496643066406250e+02,2.530000000000000000e+02,4.168599843978881836e-06
1.151927467435598373e-02,2.912496643066406250e+02,2.540000000000000000e+02,4.694499075412750244e-04
1.156462542712688446e-02,2.912496643066406250e+02,2.550000000000000000e+02,1.237139105796813965e-03
1.160997711122035980e-02,2.912496643066406250e+02,2.560000000000000000e+02,1.296017318964004517e-03
1.165532879531383514e-02,2.912496643066406250e+02,2.570000000000000000e+02,9.081214666366577148e-04
1.170068047940731049e-02,2.912496643066406250e+02,2.580000000000000000e+02,3.315582871437072754e-04
1.174603216350078583e-02,2.912496643066406250e+02,2.590000000000000000e+02,3.568716347217559814e-04
1.179138291627168655e-02,2.912496643066406250e+02,2.600000000000000000e+02,6.045773625373840332e-04
1.183673460036516190e-02,2.912496643066406250e+02,2.610000000000000000e+02,3.476552665233612061e-04
1.188208628445863724e-02,2.912496643066406250e+02,2.620000000000000000e+02,2.714358270168304443e-04
1.192743796855211258e-02,2.912496643066406250e+02,2.630000000000000000e+02,2.208016812801361084e-04
1.197278872132301331e-02,2.912496643066406250e+02,2.640000000000000000e+02,1.422688364982604980e-05
1.201814040541648865e-02,2.912496643066406250e+02,2.650000000000000000e+02,4.920586943626403809e-04
1.206349208950996399e-02,2.912496643066406250e+02,2.660000000000000000e+02,7.091611623764038086e-04
1.210884377360343933e-02,2.912496643066406250e+02,2.670000000000000000e+02,4.957839846611022949e-04
1.215419545769691467e-02,2.912496643066406250e+02,2.680000000000000000e+02,1.276731491088867188e-04
1.219954621046781540e-02,2.912496643066406250e+02,2.690000000000000000e+02,2.568215131759643555e-05
1.224489789456129074e-02,2.912496643066406250e+02,2.700000000000000000e+02,9.879395365715026855e-04
1.229024957865476608e-02,2.912496643066406250e+02,2.710000000000000000e+02,1.429021358489990234e-03
1.233560126274824142e-02,2.912496643066406250e+02,2.720000000000000000e+02,1.396235078573226929e-03
1.238095201551914215e-02,2.912496643066406250e+02,2.730000000000000000e+02,1.168869435787200928e-03
1.242630369961261749e-02,2.912496643066406250e+02,2.740000000000000000e+02,1.126877963542938232e-03
1.247165538370609283e-02,2.912496643066406250e+02,2.750000000000000000e+02,5.666017532348632812e-04
1.251700706779956818e-02,2.912496643066406250e+02,2.760000000000000000e+02,4.704669117927551270e-05
1.256235782057046890e-02,2.912496643066406250e+02,2.770000000000000000e+02,2.777911722660064697e-04
1.260770950466394424e-02,2.912496643066406250e+02,2.780000000000000000e+02,3.407225012779235840e-04
1.265306118875741959e-02,2.912496643066406250e+02,2.790000000000000000e+02,2.282597124576568604e-04
1.269841287285089493e-02,2.912496643066406250e+02,2.800000000000000000e+02,8.901134133338928223e-04
1.274376455694437027e-02,2.912496643066406250e+02,2.810000000000000000e+02,1.487676054239273071e-03
1.278911530971527100e-02,2.912496643066406250e+02,2.820000000000000000e+02,1.168284565210342407e-03
1.283446699380874634e-02,2.912496643066406250e+02,2.830000000000000000e+02,6.553530693054199219e-05
1.287981867790222168e-02,2.912496643066406250e+02,2.840000000000000000e+02,5.262009799480438232e-04
1.292517036199569702e-02,2.912496643066406250e+02,2.850000000000000000e+02,8.436851203441619873e-04
1.297052111476659775e-02,2.912496643066406250e+02,2.860000000000000000e+02,1.183636486530303955e-04
1.301587279886007309e-02,2.912496643066406250e+02,2.870000000000000000e+02,4.492700099945068359e-06
1.306122448295354843e-02,2.912496643066406250e+02,2.880000000000000000e+02,1.773685216903686523e-04
1.310657616704702377e-02,2.912496643066406250e+02,2.890000000000000000e+02,5.793981254100799561e-04
